price,vendor_price,vendor_cost,sku,vendor_sku,qty,stock_qty,name,udropship_vendor,weight,categoryname,image,small_image,thumbnail,manufacturer,status,tax_class_id,visibility,short_description,description,custom_stock_status,hide_default_stock_status
30274,30274,19981,379347,379347,10,10,"PLAFON LED 16W DIFUSOR ACRIL OPAL 1200LM 3000K",26,1,Iluminación/Led/Luminaria Interior,http://www.casamusa.cl/media/catalog/product/3/7/379347_10.jpg,http://www.casamusa.cl/media/catalog/product/3/7/379347_10.jpg,http://www.casamusa.cl/media/catalog/product/3/7/379347_10.jpg,Technolamp,1,IVA,4,"PLAFON LED","PLAFON LED 16W DIFUSOR ACRIL OPAL 1200LM 3000K",Despacho en 24 hrs.,1
14229,14229,9391,379346,379346,10,10,"PLAFON LED SOBREPUESTO 5X1W 3000K",26,1,Iluminación/Led/Luminaria Interior,http://www.casamusa.cl/media/catalog/product/3/7/379346_10.jpg,http://www.casamusa.cl/media/catalog/product/3/7/379346_10.jpg,http://www.casamusa.cl/media/catalog/product/3/7/379346_10.jpg,Technolamp,1,IVA,4,"PLAFON LED","PLAFON LED SOBREPUESTO 5X1W 3000K",Despacho en 24 hrs.,1
1478,1478,975,344020,344020,10,10,"ADAPTADOR/REDUCTOR DE BASE E40 A E27",26,1,Iluminación/Led/Accesorios,http://www.casamusa.cl/media/catalog/product/3/4/344020.jpg,http://www.casamusa.cl/media/catalog/product/3/4/344020.jpg,http://www.casamusa.cl/media/catalog/product/3/4/344020.jpg,Technolamp,1,IVA,4,"ADAPTADOR/REDUCTOR DE","ADAPTADOR/REDUCTOR DE BASE E40 A E27",Despacho en 24 hrs.,1
49725,49725,32819,379344,379344,10,10,"FOCO LED EMBUTIDO 20W 4000K RECTANG DIRIGIBLE",26,1,Iluminación/Led/Luminaria Interior,http://www.casamusa.cl/media/catalog/product/3/7/379344_10.jpg,http://www.casamusa.cl/media/catalog/product/3/7/379344_10.jpg,http://www.casamusa.cl/media/catalog/product/3/7/379344_10.jpg,Technolamp,1,IVA,4,"REFLECTOR LED","FOCO LED EMBUTIDO 20W 4000K RECTANG DIRIGIBLE",Despacho en 24 hrs.,1
36080,36080,23813,702645,702645,10,10,"SENSOR DE MOVIMIENTO MICROONDAS 360° 1200W 16MT",26,1,Iluminación/Led/Accesorios,http://www.casamusa.cl/media/catalog/product/7/0/702645_1.jpg,http://www.casamusa.cl/media/catalog/product/7/0/702645_1.jpg,http://www.casamusa.cl/media/catalog/product/7/0/702645_1.jpg,Technolamp,1,IVA,4,"DETECTOR DE MOVIMIENTO MICRONDAS 360°","SENSOR DE MOVIMIENTO MICROONDAS 360° 1200W 16MT",Despacho en 24 hrs.,1
35000,35000,23100,192350,192350,10,10,"SPOTS MOVILES NEGRO 2X50W GU10 NERO 915002017801",26,1,Iluminación/Deco/Interior,http://www.casamusa.cl/media/catalog/product/1/9/192350.jpg,http://www.casamusa.cl/media/catalog/product/1/9/192350.jpg,http://www.casamusa.cl/media/catalog/product/1/9/192350.jpg,Philips,1,IVA,4,"SPOTS MOVILES","SPOTS MOVILES NEGRO 2X50W GU10 NERO 915002017801",Despacho en 24 hrs.,1
3748,3748,2474,379991,379991,10,10,"BISEL GU10 EMBUTIDO ORIENTABLE INYECTADO TITANIO",26,1,Iluminación/Deco/Interior,http://www.casamusa.cl/media/catalog/product/3/7/379991_10.jpg,http://www.casamusa.cl/media/catalog/product/3/7/379991_10.jpg,http://www.casamusa.cl/media/catalog/product/3/7/379991_10.jpg,Technolamp,1,IVA,4,"REFLECTOR GU10","BISEL GU10 EMBUTIDO ORIENTABLE INYECTADO TITANIO",Despacho en 24 hrs.,1
10457,10457,6902,318680,318680,10,10,"APLIQUE REJILLA 60W BLANCO E27 IP54",26,1,Iluminación/Deco/Exterior,http://www.casamusa.cl/media/catalog/product/3/1/318680_10.jpg,http://www.casamusa.cl/media/catalog/product/3/1/318680_10.jpg,http://www.casamusa.cl/media/catalog/product/3/1/318680_10.jpg,Technolamp,1,IVA,4,"APLIQUE 60W","APLIQUE REJILLA 60W BLANCO E27 IP54",Despacho en 24 hrs.,1
58199,58199,38411,379126,379126,10,10,"APLIQUE LED ALUX 9W 308LM 3000K IP54 BLANCO",26,1,Iluminación/Deco/Exterior,http://www.casamusa.cl/media/catalog/product/3/7/379126.jpg,http://www.casamusa.cl/media/catalog/product/3/7/379126.jpg,http://www.casamusa.cl/media/catalog/product/3/7/379126.jpg,Technolamp,1,IVA,4,"APLIQUE LED","APLIQUE LED ALUX 9W 308LM 3000K IP54 BLANCO",Despacho en 24 hrs.,1
2396,2396,1581,379955,379955,10,10,"BISEL GU10 EMBUTIDO FIJO INYECTADO OMEGA TITANIO",26,1,Iluminación/Deco/Interior,http://www.casamusa.cl/media/catalog/product/3/7/379955_10.jpg,http://www.casamusa.cl/media/catalog/product/3/7/379955_10.jpg,http://www.casamusa.cl/media/catalog/product/3/7/379955_10.jpg,Technolamp,1,IVA,4,"REFLECTOR GU10","BISEL GU10 EMBUTIDO FIJO INYECTADO OMEGA TITANIO",Despacho en 24 hrs.,1
3362,3362,2219,379990,379990,10,10,"BISEL GU10 EMBUTIDO ORIENTABLE INYECTADO BLANCO",26,1,Iluminación/Deco/Interior,http://www.casamusa.cl/media/catalog/product/3/7/379990_10.jpg,http://www.casamusa.cl/media/catalog/product/3/7/379990_10.jpg,http://www.casamusa.cl/media/catalog/product/3/7/379990_10.jpg,Technolamp,1,IVA,4,"REFLECTOR GU10","BISEL GU10 EMBUTIDO ORIENTABLE INYECTADO BLANCO",Despacho en 24 hrs.,1
