price,vendor_price,vendor_cost,sku,vendor_sku,qty,stock_qty,name,udropship_vendor,weight,categoryname,image,small_image,thumbnail,manufacturer,status,tax_class_id,visibility,short_description,description,custom_stock_status,hide_default_stock_status
30050,30050,30050,41010,41010,20,20,"CARTRIDGE HP CD975AL (920XL) BLACK 1200PAG. P/6500",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/41010_medium.jpg,+https://www.prisa.cl/catalog/images/large/41010_medium.jpg,+https://www.prisa.cl/catalog/images/large/41010_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CD975AL (920XL) BLACK 1200PAG. P/6500","CARTRIDGE HP CD975AL (920XL) BLACK 1200PAG. P/6500",Despacho en 24 hrs.,1
6696,6696,6696,41288,41288,20,20,"CARTRIDGE HP CH561HL (122)NEG. 2050/3050 120PAG.",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/41288_medium.jpg,+https://www.prisa.cl/catalog/images/large/41288_medium.jpg,+https://www.prisa.cl/catalog/images/large/41288_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CH561HL (122)NEG. 2050/3050 120PAG.","CARTRIDGE HP CH561HL (122)NEG. 2050/3050 120PAG.",Despacho en 24 hrs.,1
8548,8548,8548,41289,41289,20,20,"CARTRIDGE HP CH562HL (122) COLOR 2050/3050 100 PAG",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/41289_medium.jpg,+https://www.prisa.cl/catalog/images/large/41289_medium.jpg,+https://www.prisa.cl/catalog/images/large/41289_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CH562HL (122) COLOR 2050/3050 100 PAG","CARTRIDGE HP CH562HL (122) COLOR 2050/3050 100 PAG",Despacho en 24 hrs.,1
19286,19286,19286,41288XL,41288XL,20,20,"CARTRIDGE HP CH563HL (122XL) NEG P/2050/3050 480P.",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/41288XL_medium.jpg,+https://www.prisa.cl/catalog/images/large/41288XL_medium.jpg,+https://www.prisa.cl/catalog/images/large/41288XL_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CH563HL (122XL) NEG P/2050/3050 480P.","CARTRIDGE HP CH563HL (122XL) NEG P/2050/3050 480P.",Despacho en 24 hrs.,1
18926,18926,18926,41289XL,41289XL,20,20,"CARTRIDGE HP CH564HL (122XL)COLOR P/2050/3050 330P",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/41289XL_medium.jpg,+https://www.prisa.cl/catalog/images/large/41289XL_medium.jpg,+https://www.prisa.cl/catalog/images/large/41289XL_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CH564HL (122XL)COLOR P/2050/3050 330P","CARTRIDGE HP CH564HL (122XL)COLOR P/2050/3050 330P",Despacho en 24 hrs.,1
28387,28387,28387,41100,41100,20,20,"CARTRIDGE HP CH565A (82) 69ML. NEGRO P/PLOTTER 510",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/41100_medium.jpg,+https://www.prisa.cl/catalog/images/large/41100_medium.jpg,+https://www.prisa.cl/catalog/images/large/41100_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CH565A (82) 69ML. NEGRO P/PLOTTER 510","CARTRIDGE HP CH565A (82) 69ML. NEGRO P/PLOTTER 510",Despacho en 24 hrs.,1
26000,26000,26000,41804XL,41804XL,20,20,"CARTRIDGE HP CN045AL (950XL) NEGRO 2300PAG. P/8100",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/41804XL_medium.jpg,+https://www.prisa.cl/catalog/images/large/41804XL_medium.jpg,+https://www.prisa.cl/catalog/images/large/41804XL_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CN045AL (950XL) NEGRO 2300PAG. P/8100","CARTRIDGE HP CN045AL (950XL) NEGRO 2300PAG. P/8100",Despacho en 24 hrs.,1
20563,20563,20563,41805XL,41805XL,20,20,"CARTRIDGE HP CN046AL (951XL) CYAN 1500PAG. P/8100",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/41805XL_medium.jpg,+https://www.prisa.cl/catalog/images/large/41805XL_medium.jpg,+https://www.prisa.cl/catalog/images/large/41805XL_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CN046AL (951XL) CYAN 1500PAG. P/8100","CARTRIDGE HP CN046AL (951XL) CYAN 1500PAG. P/8100",Despacho en 24 hrs.,1
20325,20325,20325,41806XL,41806XL,20,20,"CARTRIDGE HP CN047AL (951XL) MAGENTA 1500PAG.",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/41806XL_medium.jpg,+https://www.prisa.cl/catalog/images/large/41806XL_medium.jpg,+https://www.prisa.cl/catalog/images/large/41806XL_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CN047AL (951XL) MAGENTA 1500PAG.","CARTRIDGE HP CN047AL (951XL) MAGENTA 1500PAG.",Despacho en 24 hrs.,1
20600,20600,20600,41807XL,41807XL,20,20,"CARTRIDGE HP CN048AL (951XL) YELLOW 1500PAG. P/810",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/41807XL_medium.jpg,+https://www.prisa.cl/catalog/images/large/41807XL_medium.jpg,+https://www.prisa.cl/catalog/images/large/41807XL_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CN048AL (951XL) YELLOW 1500PAG. P/810","CARTRIDGE HP CN048AL (951XL) YELLOW 1500PAG. P/810",Despacho en 24 hrs.,1
