11687,Cartridge,27327,CARTRIDGE BROTHER LC-205 CY MFC J4420/J5620DW 1200,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/27327_large.jpg,,,27327
11687,Cartridge,27328,CARTRIDGE BROTHER LC-205 MG MFC J4420/J5620DW 1200,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/27328_large.jpg,,,27328
11687,Cartridge,27329,CARTRIDGE BROTHER LC-205 Y MFC J4420/J5620DW 1200,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/27329_large.jpg,,,27329
14038,Cartridge,27326,CARTRIDGE BROTHER LC-207 BK MFC J4420-DW 1200 PG,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/27326_large.jpg,,,27326
18625,Cartridge,27330,CARTRIDGE BROTHER LC-209 BK MFC J5620-DW 2400 PG,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/27330_large.jpg,,,27330
5945,Cartridge,29868,CARTRIDGE BROTHER LC-505C DCP-J100/105/200 1300 PG,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/29868_large.jpg,,,29868
5945,Cartridge,29869,CARTRIDGE BROTHER LC-505M DCP-J100/105/200 1300 PG,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/29869_large.jpg,,,29869
5945,Cartridge,29870,CARTRIDGE BROTHER LC-505Y DCP-J100/105/200 1300 PG,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/29870_large.jpg,,,29870
6762,Cartridge,29867,CARTRIDGE BROTHER LC-509BK DCP-J100/105/200 2400PG,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/29867_large.jpg,,,29867
14133,Cartridge,24710,CARTRIDGE BROTHER LC-51 BK MFC240C/MFC3360C/DCP130,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/24710_large.jpg,,,24710
8039,Cartridge,24711,CARTRIDGE BROTHER LC-51 C MFC240C/MFC3360C/DCP130,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/24711_large.jpg,,,24711
8039,Cartridge,24713,CARTRIDGE BROTHER LC-51 M MFC240C/MFC3360C/DCP130,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/24713_large.jpg,,,24713
8039,Cartridge,24712,CARTRIDGE BROTHER LC-51 Y MFC240C/MFC3360C/DCP130,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/24712_large.jpg,,,24712
11133,Cartridge,40463,CARTRIDGE BROTHER LC-60BK MFC-J410/DCPJ125/J140W,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/40463_large.jpg,,,40463
5710,Cartridge,40464,CARTRIDGE BROTHER LC-60C MFC-J410/DCPJ125/J140W,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/40464_large.jpg,,,40464
5710,Cartridge,40465,CARTRIDGE BROTHER LC-60M MFC-J410/DCPJ125/J140W,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/40465_large.jpg,,,40465
5710,Cartridge,40466,CARTRIDGE BROTHER LC-60Y MFC-J410/DCPJ125/J140W,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/40466_large.jpg,,,40466
13498,Cartridge,25498,CARTRIDGE BROTHER LC-75 BK 600 PG MFC-J430/825,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/25498_large.jpg,,,25498
8247,Cartridge,25516,CARTRIDGE BROTHER LC-75 CYAN 600PG MFC-J430/825,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/25516_large.jpg,,,25516
8247,Cartridge,25517,CARTRIDGE BROTHER LC-75 MAGENTA 600PG MFC-J430/825,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/25517_large.jpg,,,25517
8247,Cartridge,25518,CARTRIDGE BROTHER LC-75 YELLOW 600PG MFC-J430/825,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/25518_large.jpg,,,25518
21389,Cartridge,26423,CARTRIDGE BROTHER LC-79BK J6710DW/J5910DW XXL,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/26423_large.jpg,,,26423
12241,Cartridge,26424,CARTRIDGE BROTHER LC-79C J6710DW/J5910DW XXL,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/26424_large.jpg,,,26424
