price,vendor_price,vendor_cost,sku,vendor_sku,qty,stock_qty,name,udropship_vendor,weight,categoryname,image,small_image,thumbnail,manufacturer,status,tax_class_id,visibility,short_description,description
43625,43625,34900,519091,519091,5,5,"PERCHERO "NASOLINI" NEGRO",5,100,"Complementos",http://www.mueblessur.cl/9341-2265-thickbox/percheronasolinidoblecruedasnegro.jpg,http://www.mueblessur.cl/9341-2265-thickbox/percheronasolinidoblecruedasnegro.jpg,http://www.mueblessur.cl/9341-2265-thickbox/percheronasolinidoblecruedasnegro.jpg,,1,IVA,4,"Estructura doble metálica, con ruedas, color negro.<br><br>Medidas: 85 x prof. 45 x alt. 153 cms.<br><br>Consultar Disponibilidad.","Estructura doble metálica, con ruedas, color negro.<br><br>Medidas: 85 x prof. 45 x alt. 153 cms.<br><br>Consultar Disponibilidad."
62375,62375,49900,519087,519087,5,5,"PERCHERO "VALET PEROTTO" ANTRACITA",5,100,"Complementos",http://www.mueblessur.cl/9339-2267-thickbox/percherovaletperottoantracita.jpg,http://www.mueblessur.cl/9339-2267-thickbox/percherovaletperottoantracita.jpg,http://www.mueblessur.cl/9339-2267-thickbox/percherovaletperottoantracita.jpg,,1,IVA,4,"Estructura y base metálica, <br>bandeja MDF color antracita. <br><br>Medidas: 51 x prof. 28 x alt. 109 cms.","Estructura y base metálica, <br>bandeja MDF color antracita. <br><br>Medidas: 51 x prof. 28 x alt. 109 cms."
65880,65880,54900,519088,519088,5,5,"PERCHERO "VALET OAKLEY" COBRE",5,100,"Complementos",http://www.mueblessur.cl/9340-2269-thickbox/percherovaletoakleycolorcobre.jpg,http://www.mueblessur.cl/9340-2269-thickbox/percherovaletoakleycolorcobre.jpg,http://www.mueblessur.cl/9340-2269-thickbox/percherovaletoakleycolorcobre.jpg,,1,IVA,4,"Estructura metálica, acabado en cobre.<br><br>Medidas: 40 x prof. 28 x alt. 112 cms.","Estructura metálica, acabado en cobre.<br><br>Medidas: 40 x prof. 28 x alt. 112 cms."
83880,83880,69900,518693,518693,5,5,"LAMPARA PIE "ALLEGRO"",5,100,"Lámparas",http://www.mueblessur.cl/9094-2111-thickbox/lamppieallegropantallasnegra.jpg,http://www.mueblessur.cl/9094-2111-thickbox/lamppieallegropantallasnegra.jpg,http://www.mueblessur.cl/9094-2111-thickbox/lamppieallegropantallasnegra.jpg,,1,IVA,4,"Estructura metálica cromada, base metálica<br> cromada color negro, 2 pantallas negras.<br><br>Medidas: alt. 150 cms.<br><br>Consultar Disponibilidad.","Estructura metálica cromada, base metálica<br> cromada color negro, 2 pantallas negras.<br><br>Medidas: alt. 150 cms.<br><br>Consultar Disponibilidad."
126385,126385,109900,516947,516947,5,5,"LAMPARA PIE "AMELIA" NEGRO",5,100,"Lámparas",http://www.mueblessur.cl/5693-2114-thickbox/lamppieamelianegro.jpg,http://www.mueblessur.cl/5693-2114-thickbox/lamppieamelianegro.jpg,http://www.mueblessur.cl/5693-2114-thickbox/lamppieamelianegro.jpg,,1,IVA,4,"Enchapado madera natural, pantalla en tela negra.<br><br>Consultar Disponibilidad.","Enchapado madera natural, pantalla en tela negra.<br><br>Consultar Disponibilidad."
126385,126385,109900,516946,516946,5,5,"LAMPARA PIE "AMELIA" BLANCO",5,100,"Lámparas",http://www.mueblessur.cl/5692-2113-thickbox/lamppieameliablanco.jpg,http://www.mueblessur.cl/5692-2113-thickbox/lamppieameliablanco.jpg,http://www.mueblessur.cl/5692-2113-thickbox/lamppieameliablanco.jpg,,1,IVA,4,"Enchapado madera natural, pantalla en tela blanca.<br><br>Consultar Disponibilidad.","Enchapado madera natural, pantalla en tela blanca.<br><br>Consultar Disponibilidad."
119880,119880,99900,515978,515978,5,5,"LAMPARA PIE "DO" CROMADA",5,100,"Lámparas",http://www.mueblessur.cl/5119-2115-thickbox/lamppiedocromadabasemarmol.jpg,http://www.mueblessur.cl/5119-2115-thickbox/lamppiedocromadabasemarmol.jpg,http://www.mueblessur.cl/5119-2115-thickbox/lamppiedocromadabasemarmol.jpg,,1,IVA,4,"Base mármol, pie y pantalla metal cromada.<br><br>Medidas: 165 x alt. 208 cms.","Base mármol, pie y pantalla metal cromada.<br><br>Medidas: 165 x alt. 208 cms."
119880,119880,99900,516502,516502,5,5,"LAMPARA PIE "BEMOL" CROMADA",5,100,"Lámparas",http://www.mueblessur.cl/5118-2116-thickbox/lamparapiebemolcromadamarmolpantallablanca.jpg,http://www.mueblessur.cl/5118-2116-thickbox/lamparapiebemolcromadamarmolpantallablanca.jpg,http://www.mueblessur.cl/5118-2116-thickbox/lamparapiebemolcromadamarmolpantallablanca.jpg,,1,IVA,4,"Base mármol, pie metal cromada, pantalla blanca.<br><br>Consultar Disponibilidad.","Base mármol, pie metal cromada, pantalla blanca.<br><br>Consultar Disponibilidad."
103080,103080,85900,518507,518507,5,5,"LAMPARA PIE "COBRE"",5,100,"Lámparas",http://www.mueblessur.cl/8952-2120-thickbox/lamppiecobrexcm.jpg,http://www.mueblessur.cl/8952-2120-thickbox/lamppiecobrexcm.jpg,http://www.mueblessur.cl/8952-2120-thickbox/lamppiecobrexcm.jpg,,1,IVA,4,"Estructura metal color cobre.<br><br>Medidas: 72 x alt. 162 cms.","Estructura metal color cobre.<br><br>Medidas: 72 x alt. 162 cms."
103080,103080,85900,519139,519139,5,5,"LAMPARA PIE "ARQUITECTO"",5,100,"Lámparas",http://www.mueblessur.cl/9395-2248-thickbox/lamppiearquitectoterminacionenvejecido.jpg,http://www.mueblessur.cl/9395-2248-thickbox/lamppiearquitectoterminacionenvejecido.jpg,http://www.mueblessur.cl/9395-2248-thickbox/lamppiearquitectoterminacionenvejecido.jpg,,1,IVA,4,"Estructura metálica, terminación marrón envejecido.<br><br>Medidas: 59 x alt. 132 cms.","Estructura metálica, terminación marrón envejecido.<br><br>Medidas: 59 x alt. 132 cms."
